Mass-to-Charge,Count
35.7227,4
35.7427,3
35.7627,2
35.7827,2
35.8027,3
35.8227,4
35.8427,4
35.8627,3
35.8827,7
35.9027,12
35.9227,42
35.9427,234
35.9627,1010
35.9827,1923
36.0027,1351
36.0227,617
36.0427,229
36.0627,122
36.0827,72
36.1027,51
36.1227,38
36.1427,42
36.1627,40
36.1827,28
36.2027,23
36.2227,20
36.2427,24
36.2627,15
36.2827,11
36.3027,17
36.3227,13
36.3427,7
36.3627,18
36.3827,15
36.4027,11
36.4227,9
36.4427,11
36.4627,14
36.4827,24
36.5027,18
36.5227,6
36.5427,11
36.5627,5
36.5827,7
36.6027,8
36.6227,11
36.6427,5
36.6627,8
36.6827,8
36.7027,6
36.7227,7
36.7427,10
36.7627,6
36.7827,9
36.8027,2
36.8227,9
36.8427,5
36.8627,8
36.8827,7
36.9027,5
36.9227,19
36.9427,18
36.9627,46
36.9827,86
37.0027,104
37.0227,43
37.0427,16
37.0627,13
37.0827,5
37.1027,10
37.1227,5
37.1427,2
37.1627,4
37.1827,9
37.2027,7
37.2227,5
37.2427,7
37.2627,7
37.2827,4
37.3027,2
37.3227,8
37.3427,4
37.3627,4
37.3827,6
37.4027,6
37.4227,9
37.4427,10
37.4627,21
37.4827,21
37.5027,17
37.5227,12
37.5427,4
37.5627,7
37.5827,4
37.6027,6
37.6227,6
37.6427,5
37.6627,4
37.6827,8
37.7027,2
37.7227,5
37.7427,6
37.7627,3
37.7827,5
37.8027,6
37.8227,6
37.8427,3
37.8627,3
37.8827,2
37.9027,8
37.9227,14
37.9427,24
37.9627,30
37.9827,44
38.0027,28
38.0227,29
38.0427,5
38.0627,7
38.0827,4
38.1027,7
38.1227,5
38.1427,8
38.1627,4
38.1827,9
38.2027,7
38.2227,3
38.2427,4
38.2627,7
38.2827,2
38.3027,5
38.3227,7
38.3427,3
38.3627,6
38.3827,4
38.4027,6
38.4227,3
38.4427,6
38.4627,13
38.4827,9
